str_code,Cluster
11003,25
11014,25
11017,13
11020,12
11021,13
11029,13
11035,8
11036,13
11037,5
11041,8
11042,13
11046,12
11048,8
11049,12
11050,8
11058,12
11059,27
11063,12
11067,12
11070,12
11072,12
11080,12
11081,13
11084,5
11094,12
11096,12
11100,12
11102,12
11104,5
11106,13
11113,13
11117,8
11124,5
11127,12
11128,8
11129,13
11130,8
11132,13
11133,13
11134,23
11135,25
11137,12
11138,5
11145,13
11146,13
11150,12
11151,13
11154,12
11158,23
11161,12
11162,12
12002,12
12003,5
12009,25
12017,12
12022,12
12025,8
12027,25
12028,5
12030,12
12031,8
12033,25
12034,8
12037,23
12038,25
12039,13
12040,11
12041,12
12046,23
12050,12
12060,25
12062,8
12063,27
12065,12
12066,12
12067,27
12069,13
12071,12
12072,25
12074,12
12076,8
12078,12
12079,13
12080,3
13003,8
13005,25
13015,8
13028,8
13030,12
13031,5
13032,8
13033,12
13035,17
13036,25
13037,11
13038,12
13042,27
13046,25
13056,13
13057,12
13058,11
13060,13
13063,8
13068,12
13072,27
13087,13
13091,12
13095,13
13098,8
13102,25
13105,11
13106,5
13109,12
13110,12
13117,12
13118,12
13119,8
13121,12
13123,12
13127,12
13130,23
13134,13
13135,12
13139,0
13142,13
13144,12
13145,25
13146,25
13147,25
13148,23
13149,11
13151,13
13153,23
13155,23
14003,23
14006,25
14009,23
14010,25
14011,13
14012,12
14019,11
14021,23
14023,12
14024,23
14028,12
14029,11
15001,25
15002,11
15003,25
15004,12
15006,11
15007,15
15008,23
15010,12
15011,11
15012,23
15013,12
15017,8
15018,23
15019,23
15021,23
15023,12
15025,12
15026,17
15027,23
15028,13
15029,12
15031,12
15032,12
15033,13
21019,13
21022,12
21024,11
21027,12
21039,12
21048,8
21055,25
21056,11
21058,25
21061,12
21063,13
21064,8
21066,13
21068,25
21073,27
21076,23
21077,12
21078,25
21084,12
21085,25
21086,25
21090,12
22003,25
31012,2
31021,1
31024,1
31025,7
31026,1
31027,1
31029,1
31030,7
31031,3
31035,1
31037,21
31039,1
31040,1
31050,1
31056,10
31058,2
31061,1
31064,1
31066,1
31067,1
31077,10
31091,3
31097,3
31105,1
31109,10
31111,2
31120,10
31125,27
31131,1
31134,1
31136,10
31139,10
31140,2
31141,10
31147,10
31150,10
31151,10
31154,10
31156,1
31157,21
31158,3
31160,10
31161,3
31163,10
31164,10
31168,3
31171,3
31173,1
31174,1
31175,10
31180,1
31181,1
31184,3
31185,1
31186,1
31187,1
31189,10
31192,10
31193,10
31197,10
31204,1
31209,1
31210,3
31215,21
31216,1
31218,10
31220,21
31221,10
31224,1
31228,1
31234,1
31235,1
31236,10
31237,10
31238,3
31239,1
31240,10
31241,10
31242,3
31243,3
31245,10
31246,10
31248,2
31250,10
31251,3
31252,1
31253,3
31254,1
31255,3
31258,21
31259,10
31260,10
31262,1
31263,1
31264,10
31265,10
31267,10
31268,10
31269,10
31271,10
31272,2
31273,10
31274,10
31278,1
31289,1
32002,3
32022,3
32023,2
32024,2
32063,2
32068,21
32092,3
32099,7
32104,1
32105,1
32112,7
32119,23
32121,21
32124,1
32125,21
32137,2
32145,7
32146,3
32147,1
32160,10
32162,1
32167,4
32169,8
32174,27
32175,3
32177,10
32179,3
32181,4
32191,1
32195,10
32201,27
32204,5
32205,3
32206,4
32209,8
32210,8
32211,27
32213,21
32215,2
32216,21
32218,2
32219,2
32221,1
32229,1
32231,1
32232,10
32233,21
32234,21
32235,2
32236,2
32237,1
32239,3
32241,27
32242,10
32243,1
32244,10
32247,27
32248,1
32249,5
32250,1
32256,10
32257,3
32259,27
32260,10
32262,1
32263,1
32264,1
32265,3
32266,1
32267,1
32270,1
32271,1
32273,10
32276,1
32278,1
32279,1
32282,10
32284,10
32285,3
32286,8
32288,2
32291,2
32293,1
32296,3
32297,10
32298,2
32299,1
32300,10
32301,1
32303,1
32306,3
32307,3
32308,10
32310,21
32312,3
32316,10
32319,3
32321,3
32322,3
32323,2
32324,10
32327,10
32328,8
32330,10
32331,1
32335,3
32336,2
32337,2
32338,1
32339,10
32341,10
32342,1
32343,3
32344,10
32345,3
32346,1
32347,3
32349,10
32352,2
32355,10
32356,1
32357,1
32359,5
32360,27
32364,3
32365,1
32366,1
32369,27
32372,7
32373,3
32374,4
32375,2
32376,10
32377,1
32381,2
32382,3
32384,10
32386,2
32387,3
32388,10
32390,27
32391,1
32392,21
32393,10
32394,10
32396,2
32397,8
32398,7
32399,21
32400,3
32402,10
32404,1
32405,10
32406,2
32408,1
32410,2
32411,21
32412,1
32414,3
32417,27
32421,1
32423,1
32424,2
32425,10
32426,2
32429,3
32430,10
32431,3
32432,27
32433,10
32438,21
32441,2
32446,1
32447,1
32448,3
32454,2
32457,21
32459,1
32462,7
32463,5
32465,1
32470,1
32473,10
32474,3
32475,1
32476,27
32480,3
32481,10
32482,1
32484,1
32486,1
32487,3
32491,1
32492,7
32495,2
32496,5
32498,3
32499,2
32500,27
32501,1
32502,1
32504,3
32506,10
32507,3
32510,1
32512,10
32513,2
32514,3
32515,10
32517,3
32518,2
32519,10
32520,10
32521,2
32522,3
32523,10
32525,21
32526,2
32527,3
32528,10
32530,10
32533,4
32535,3
32536,10
32537,10
32538,2
32542,10
32544,10
32545,1
32546,10
32547,10
32548,3
32549,2
32550,2
32551,1
32552,2
32553,2
32554,1
32555,21
32556,3
32559,3
32562,10
32563,10
32564,1
32565,2
32566,10
32568,3
32569,3
32573,10
32574,3
32576,10
32578,2
32579,2
32580,21
32581,10
32583,3
32584,2
32585,1
32587,3
32589,1
32590,3
32593,8
32595,10
32596,8
32601,20
32603,3
32606,10
32608,3
32610,3
32611,3
32615,3
32616,1
32620,3
32621,3
32623,10
32624,10
32632,3
32633,10
32636,3
32640,10
32642,10
32644,28
32646,1
32648,3
32650,3
32651,0
32656,1
32657,3
32658,3
32659,2
32660,2
32662,10
32663,1
32665,3
32667,1
32669,4
32673,10
32674,1
32676,7
32677,3
32679,1
32680,4
32682,1
32683,3
32684,10
32685,3
32687,1
32688,1
32690,3
32691,2
32692,10
32693,10
32694,20
32696,1
32697,27
32698,2
32699,1
32700,2
32703,2
32707,10
32709,10
32710,20
32712,5
32713,3
32714,1
32715,10
32716,1
32717,2
32718,1
32719,10
32720,8
32721,3
32723,10
32724,3
32728,1
32733,20
32737,2
32750,10
32758,3
32763,1
32766,2
32768,1
32769,10
33001,2
33002,1
33007,2
33019,1
33030,21
33036,2
33047,27
33048,1
33054,1
33057,1
33058,21
33062,1
33063,10
33065,10
33066,2
33068,27
33074,2
33075,10
33079,10
33085,10
33088,2
33090,2
33091,3
33092,21
33097,27
33098,2
33099,7
33103,1
33111,10
33112,3
33123,1
33125,1
33126,3
33129,27
33130,21
33131,1
33135,1
33137,27
33139,2
33144,2
33149,3
33151,1
33152,1
33154,10
33155,1
33157,1
33160,3
33162,2
33167,27
33172,3
33174,2
33177,1
33178,27
33182,3
33186,2
33188,1
33195,10
33200,2
33201,1
33202,2
33203,1
33207,27
33209,2
33211,1
33217,2
33221,1
33223,10
33230,1
33231,3
33234,3
33237,1
33238,10
33241,2
33244,1
33247,27
33248,1
33249,10
33252,27
33253,1
33254,2
33258,3
33259,10
33260,2
33262,3
33264,1
33267,1
33268,27
33270,1
33271,1
33273,2
33274,1
33275,21
33277,3
33278,3
33280,10
33281,10
33282,21
33283,1
33284,10
33285,27
33286,2
33288,1
33289,1
33291,1
33294,1
33295,1
33296,1
33297,27
33298,1
33299,2
33301,21
33302,27
33307,21
33309,27
33310,2
33311,27
33313,1
33315,3
33321,27
33322,2
33323,1
33326,1
33327,1
33328,3
33329,10
33330,27
33331,1
33332,10
33334,10
33341,3
33345,1
33348,1
33349,1
33350,2
33351,27
33357,20
33363,2
33364,2
33365,1
33366,1
33368,1
33370,7
33373,21
33376,1
33377,13
33378,10
33379,10
33383,2
33384,1
33385,27
33387,2
33388,1
33389,1
33391,2
33393,1
33397,2
33398,1
33405,10
33412,3
33413,10
33416,27
33418,10
33419,3
33421,10
33424,3
33425,3
33426,10
33427,2
33428,10
33429,8
33432,4
33434,3
33435,21
33436,2
33438,10
33439,1
33440,10
33441,1
33442,1
33451,3
33452,1
33453,1
33454,2
33455,5
33458,1
33462,1
33463,3
33466,2
33467,2
33472,1
33475,10
33480,1
33482,8
33484,2
33486,21
33488,2
33489,21
33490,3
33492,10
33495,2
33496,1
33497,10
33498,2
33500,10
33501,3
33506,1
33507,3
33509,3
33510,10
33512,2
33513,10
33514,10
33517,1
33519,1
33520,1
33521,10
33522,10
33524,2
33526,0
33528,3
33533,2
33534,10
33535,28
33536,3
33538,3
33540,10
33541,10
33545,10
33547,1
33548,1
33549,3
33551,1
33552,1
33553,3
33554,10
33555,10
33557,3
33558,10
33559,3
33560,10
33562,3
33565,10
33571,4
33572,10
33573,1
33574,10
33576,3
33579,1
33581,2
33585,10
33587,1
33588,3
33589,1
33592,3
33593,3
33595,1
33596,3
33599,3
33600,3
33603,3
33606,10
33607,2
33608,10
33609,2
33614,10
33616,1
33618,2
33619,2
33620,2
33623,3
33625,10
33627,1
33630,10
33633,2
33634,3
33636,2
33637,3
33638,2
33639,3
33640,2
33641,3
33643,10
33644,2
33645,27
33646,27
33647,3
33648,10
33649,10
33650,3
33651,2
33655,3
33657,3
33660,2
33661,10
33662,2
33664,2
33665,10
33670,10
33671,1
33672,0
33673,1
33674,1
33677,4
33681,2
33682,10
33683,21
33684,10
33685,1
33687,10
33689,2
33690,3
33691,1
33694,2
33695,10
33698,27
33699,27
33701,10
33702,3
33703,3
33705,10
33707,10
33708,2
33709,3
33710,10
33711,8
33712,10
33714,1
33715,20
33716,3
33717,3
33718,3
33719,3
33721,2
33723,10
33724,10
33725,1
33726,2
33727,2
33728,1
33729,3
33730,20
33732,1
33733,3
33736,2
33739,3
33740,2
33741,2
33742,2
33743,10
33747,3
33749,3
33760,2
33765,23
33770,7
33771,2
34001,8
34003,3
34015,2
34023,2
34025,10
34033,1
34049,22
34058,27
34062,2
34063,5
34067,27
34077,27
34082,8
34083,1
34086,1
34088,2
34089,1
34092,2
34094,1
34095,1
34098,1
34099,1
34100,2
34101,1
34103,1
34105,27
34106,2
34107,27
34108,5
34109,21
34110,2
34111,1
34112,2
34115,27
34117,27
34119,1
34120,27
34122,21
34123,1
34124,2
34126,20
34128,2
34130,27
34134,20
34138,2
34139,13
34140,2
34141,2
34142,27
34148,1
34149,27
34150,27
34151,1
34155,10
34157,1
34158,2
34159,21
34160,13
34164,5
34165,21
34166,1
34167,21
34170,1
34173,1
34174,27
34177,1
34179,10
34181,1
34183,2
34184,8
34187,2
34191,27
34194,1
34195,1
34197,27
34198,2
34199,2
34200,2
34201,10
34202,2
34209,8
34211,1
34212,21
34213,3
34214,21
34217,27
34218,3
34223,10
34225,3
34234,8
34236,3
34239,1
34241,5
34244,3
34246,2
34248,3
34251,3
34252,2
34255,1
34256,1
34257,3
34258,10
34260,10
34261,2
34264,2
34267,3
34269,23
34270,10
34272,10
34273,10
34275,3
34279,3
34280,2
34281,1
34282,3
34283,20
34288,1
34297,8
34299,7
34301,2
34303,10
34305,8
34306,1
34307,2
34308,2
34311,2
34312,1
34313,3
34314,2
34316,3
34317,2
34318,2
34319,3
34320,10
34321,2
34322,1
34323,2
34324,2
34326,1
34328,27
34329,2
34332,4
34335,1
34336,1
34338,10
34341,2
34342,1
34343,8
34345,3
34346,3
34347,3
34348,20
34349,8
34350,10
34351,10
34353,2
34354,2
34355,2
34367,2
34375,3
34380,2
34382,2
34395,7
34399,25
34401,8
34404,2
35011,2
35013,20
35016,6
35019,18
35023,27
35025,1
35026,6
35031,28
35032,18
35036,18
35043,5
35046,28
35048,9
35049,27
35051,20
35052,28
35056,2
35059,19
35060,28
35066,28
35069,18
35076,29
35078,20
35083,18
35085,28
35087,28
35088,29
35093,3
35095,2
35096,29
35097,29
35104,28
35105,28
35106,28
35107,18
35108,28
35111,29
35112,18
35114,20
35115,27
35116,16
35119,28
35121,29
35124,20
35125,29
35128,26
35135,27
35136,18
36001,19
36002,20
36003,20
36005,19
36006,19
36007,1
36009,8
36012,8
36016,19
36017,27
36018,19
36019,19
36021,20
36022,20
36026,27
36028,5
36029,19
36030,19
36031,19
36033,19
36034,19
36038,19
36040,23
36041,19
36042,4
36045,27
36046,19
36048,27
36052,20
36054,23
36057,20
36064,19
36067,19
36070,19
36075,19
36076,19
36077,27
36080,19
36081,19
36082,27
36087,19
36090,23
36093,27
36094,19
36096,19
36097,19
36098,8
36103,23
36104,19
36105,19
36106,27
36107,16
36110,19
36112,19
36113,19
36118,19
36119,23
36122,27
36124,23
36126,27
36133,19
36134,23
36135,23
36138,19
36143,19
36144,19
36147,23
36148,19
36149,19
36150,19
36151,19
36152,19
36153,8
36159,19
36161,3
36162,19
36165,19
36166,27
36167,19
37008,20
37010,20
37015,20
37017,0
37018,13
37021,23
37023,23
37024,19
37026,19
37029,20
37032,20
37033,19
37034,4
37036,19
37038,25
37039,20
37041,13
37044,4
37045,23
37046,8
37048,19
37050,8
37056,20
37057,20
37058,19
37062,4
37067,20
37070,23
37074,23
37075,19
37076,19
37077,10
37078,20
37081,20
37084,28
37089,20
37090,8
37091,19
37096,23
37097,19
37099,19
37100,20
37108,20
37115,23
37117,15
37118,20
37120,20
37123,20
37124,19
37125,8
37126,20
37129,20
37137,20
37138,10
37139,4
37141,20
37142,20
37143,20
37144,8
37146,23
37151,4
37153,13
37154,19
37155,23
37156,19
37164,20
37167,23
37170,23
37174,23
37176,20
37180,0
37184,20
37185,20
37189,8
37191,10
37192,20
37193,4
37196,20
37198,19
37204,13
37205,20
37206,20
37208,8
37210,4
37211,23
37212,23
37213,20
37215,23
41003,20
41007,8
41013,27
41025,8
41028,27
41029,20
41030,25
41034,27
41035,4
41036,20
41038,19
41044,19
41045,25
41046,19
41047,20
41049,19
41051,20
41053,27
41056,27
41058,20
41062,23
41076,19
41081,19
41091,21
41093,23
41097,4
41100,20
41104,20
41107,23
41108,13
41110,20
41116,20
41119,20
41123,8
41126,19
41128,19
41129,8
41134,20
41136,20
41138,19
41140,20
41141,25
41142,4
41143,20
41146,25
41147,23
41148,8
41151,19
41153,24
41160,19
41163,23
41164,20
41167,25
41170,20
41171,20
41177,19
41178,19
41179,23
41180,0
41181,4
41182,19
41183,23
41186,23
41187,0
41191,25
41193,4
41195,23
41199,19
41202,4
41203,23
41204,23
41206,23
41208,4
41211,4
41212,5
41213,0
41217,23
41219,20
41220,23
41221,20
41222,19
41223,23
41225,23
41228,20
41231,23
41232,25
41234,19
41235,23
41236,11
41237,23
41238,23
41241,23
41242,23
41247,25
41248,4
41249,19
41250,23
41253,16
41254,20
41255,25
42001,19
42006,20
42010,19
42019,21
42021,19
42024,20
42026,19
42027,19
42029,19
42030,19
42031,27
42033,19
42034,19
42036,19
42037,19
42046,27
42052,19
42055,8
42056,27
42057,27
42060,19
42062,21
42064,23
42065,19
42067,19
42069,27
42071,8
42072,27
42074,27
42075,27
42078,19
42080,27
42081,19
42082,27
42083,19
42084,1
42087,5
42088,20
42089,8
42091,19
42093,19
42094,20
42095,19
42096,27
42097,23
42098,20
42100,19
42102,19
42103,3
42109,27
42110,23
42111,23
42112,8
42114,27
42121,27
42122,20
42127,4
42130,19
42131,19
42135,19
42138,19
42139,23
42142,23
42143,19
42147,23
42151,19
42153,3
42154,27
42155,19
42157,25
42158,19
42159,20
42161,19
42163,23
42164,1
42166,20
42167,19
42169,20
42170,19
43008,20
43012,8
43013,19
43014,19
43017,20
43020,8
43025,27
43026,20
43032,20
43034,0
43038,27
43039,8
43040,27
43041,27
43042,27
43044,27
43046,19
43048,20
43049,23
43051,27
43053,19
43054,27
43055,19
43057,14
43059,11
43061,20
43062,27
43064,19
43066,8
43067,19
43069,19
43072,20
43074,27
43075,27
43078,19
43079,8
43080,23
43085,19
43086,19
43090,19
43091,19
43092,27
43093,1
43094,23
43095,0
43098,27
43100,20
43101,19
43105,19
43109,20
43110,19
43112,20
43113,0
43115,19
43116,0
43119,5
43120,19
43122,20
43129,20
43130,23
43134,23
43136,20
43139,23
43142,19
43147,19
43148,23
43151,4
43152,23
43153,23
43160,27
43161,19
43166,27
43167,8
43168,23
43169,19
43172,23
43175,19
43179,23
43181,19
43182,23
43183,23
43184,23
43185,19
