str_code,spu_code,sub_cate_name,category_type,cluster_id,current_spu_count,target_spu_count,eligibility_status,excess_quantity,is_overcapacity,potential_reduction,max_reduction,constrained_reduction,step7_increase,step8_increase,step9_increase,reduction_allowed,reduction_gate_reason,is_core_subcategory,recommended_quantity_change,rule10_applied,rule10_reason
S01001,SPU_棉服_0001,棉服,winter,2,7.33991780504304,6.311249197428925,INELIGIBLE,1.0286686076141152,True,1.0286686076141152,2.935967122017216,1.0286686076141152,False,False,False,True,ELIGIBLE: No prior increases,False,-1.0286686076141152,True,Overcapacity reduction: -1.0 units (excess: 1.0)
S01003,SPU_夹克_0003,夹克,transition,4,19.078290635236254,17.125884531081393,INELIGIBLE,1.9524061041548606,True,1.9524061041548606,7.631316254094502,1.9524061041548606,False,False,False,True,ELIGIBLE: No prior increases,False,-1.9524061041548606,True,Overcapacity reduction: -2.0 units (excess: 2.0)
S01005,SPU_T恤_0005,T恤,summer,1,12.871619903875837,7.9031707461598835,ELIGIBLE,4.968449157715954,True,4.968449157715954,5.148647961550335,4.968449157715954,False,False,False,True,ELIGIBLE: No prior increases,False,-4.968449157715954,True,Overcapacity reduction: -5.0 units (excess: 5.0)
S01011,SPU_束脚裤_0011,束脚裤,core,4,12.427653651669052,10.846807895630896,ELIGIBLE,1.5808457560381566,True,1.5808457560381566,2.4855307303338106,1.5808457560381566,False,False,False,True,ELIGIBLE: No prior increases,True,-1.5808457560381566,True,Overcapacity reduction: -1.6 units (excess: 1.6)
S01013,SPU_羽绒服_0013,羽绒服,winter,2,13.515504917299872,11.52447415422158,INELIGIBLE,1.9910307630782924,True,1.9910307630782924,5.406201966919949,1.9910307630782924,False,False,False,True,ELIGIBLE: No prior increases,False,-1.9910307630782924,True,Overcapacity reduction: -2.0 units (excess: 2.0)
S01015,SPU_毛呢大_0015,毛呢大衣,winter,4,5.678409333658071,4.069166225060945,INELIGIBLE,1.6092431085971262,True,1.6092431085971262,2.2713637334632284,1.6092431085971262,False,False,False,True,ELIGIBLE: No prior increases,False,-1.6092431085971262,True,Overcapacity reduction: -1.6 units (excess: 1.6)
S01017,SPU_针织衫_0017,针织衫,transition,4,13.140441247373728,11.046631436749951,INELIGIBLE,2.0938098106237764,True,2.0938098106237764,5.2561764989494915,2.0938098106237764,False,False,False,True,ELIGIBLE: No prior increases,False,-2.0938098106237764,True,Overcapacity reduction: -2.1 units (excess: 2.1)
S01020,SPU_短袖_0020,短袖,summer,3,6.110669776011355,3.878813133611334,ELIGIBLE,2.2318566424000212,True,2.2318566424000212,2.4442679104045424,2.2318566424000212,False,False,False,True,ELIGIBLE: No prior increases,False,-2.2318566424000212,True,Overcapacity reduction: -2.2 units (excess: 2.2)
S01025,SPU_锥形裤_0025,锥形裤,core,1,15.65994334528681,11.459961425792423,ELIGIBLE,4.1999819194943875,True,4.1999819194943875,3.131988669057362,3.131988669057362,False,False,False,True,ELIGIBLE: No prior increases,True,-3.131988669057362,True,Overcapacity reduction: -3.1 units (excess: 4.2)
S01027,SPU_棉服_0027,棉服,winter,4,18.613497108891394,13.459696670773464,INELIGIBLE,5.15380043811793,True,5.15380043811793,7.445398843556558,5.15380043811793,False,False,False,True,ELIGIBLE: No prior increases,False,-5.15380043811793,True,Overcapacity reduction: -5.2 units (excess: 5.2)
S01034,SPU_内衣_0034,内衣,all_season,3,11.261165047231685,7.161646133836507,ELIGIBLE,4.099518913395178,True,4.099518913395178,4.504466018892674,4.099518913395178,False,False,False,True,ELIGIBLE: No prior increases,False,-4.099518913395178,True,Overcapacity reduction: -4.1 units (excess: 4.1)
S01035,SPU_配饰_0035,配饰,all_season,4,8.661882833716612,5.765602711675384,ELIGIBLE,2.8962801220412286,True,2.8962801220412286,3.4647531334866453,2.8962801220412286,False,False,False,True,ELIGIBLE: No prior increases,False,-2.8962801220412286,True,Overcapacity reduction: -2.9 units (excess: 2.9)
S01036,SPU_直筒裤_0036,直筒裤,core,1,11.057542565870612,7.476829688835269,ELIGIBLE,3.580712877035343,True,3.580712877035343,2.2115085131741226,2.2115085131741226,False,False,False,True,ELIGIBLE: No prior increases,True,-2.2115085131741226,True,Overcapacity reduction: -2.2 units (excess: 3.6)
S01039,SPU_羽绒服_0039,羽绒服,winter,4,5.77218126874984,5.036111361456263,INELIGIBLE,0.7360699072935768,True,0.7360699072935768,2.308872507499936,0.7360699072935768,False,False,False,True,ELIGIBLE: No prior increases,False,-0.7360699072935768,True,Overcapacity reduction: -0.7 units (excess: 0.7)
S01041,SPU_毛呢大_0041,毛呢大衣,winter,4,6.212799894990729,4.179027308724724,INELIGIBLE,2.0337725862660054,True,2.0337725862660054,2.4851199579962917,2.0337725862660054,False,False,False,True,ELIGIBLE: No prior increases,False,-2.0337725862660054,True,Overcapacity reduction: -2.0 units (excess: 2.0)
S01045,SPU_短裤_0045,短裤,summer,3,17.14251569209573,10.780121826146337,ELIGIBLE,6.362393865949395,True,6.362393865949395,6.857006276838293,6.362393865949395,False,False,False,True,ELIGIBLE: No prior increases,False,-6.362393865949395,True,Overcapacity reduction: -6.4 units (excess: 6.4)
S01046,SPU_短袖_0046,短袖,summer,1,15.364066071536989,13.53603407436458,ELIGIBLE,1.8280319971724097,True,1.8280319971724097,6.145626428614796,1.8280319971724097,False,False,False,True,ELIGIBLE: No prior increases,False,-1.8280319971724097,True,Overcapacity reduction: -1.8 units (excess: 1.8)
S01052,SPU_羽绒服_0052,羽绒服,winter,1,14.630474692314316,9.487696258722355,INELIGIBLE,5.14277843359196,True,5.14277843359196,5.852189876925727,5.14277843359196,False,False,False,True,ELIGIBLE: No prior increases,False,-5.14277843359196,True,Overcapacity reduction: -5.1 units (excess: 5.1)
