str_code,spu_code,eligibility_status,recommendation
S01000,SPU_羽绒服_0000,INELIGIBLE,NONE
S01001,SPU_棉服_0001,INELIGIBLE,NONE
S01002,SPU_毛呢大_0002,INELIGIBLE,NONE
S01003,SPU_夹克_0003,INELIGIBLE,NONE
S01004,SPU_针织衫_0004,INELIGIBLE,NONE
S01005,SPU_T恤_0005,ELIGIBLE,NONE
S01006,SPU_短裤_0006,ELIGIBLE,NONE
S01007,SPU_短袖_0007,ELIGIBLE,NONE
S01008,SPU_内衣_0008,ELIGIBLE,ADD
S01009,SPU_配饰_0009,ELIGIBLE,NONE
S01010,SPU_直筒裤_0010,ELIGIBLE,NONE
S01011,SPU_束脚裤_0011,ELIGIBLE,NONE
S01012,SPU_锥形裤_0012,ELIGIBLE,NONE
S01013,SPU_羽绒服_0013,INELIGIBLE,NONE
S01014,SPU_棉服_0014,INELIGIBLE,NONE
S01015,SPU_毛呢大_0015,INELIGIBLE,NONE
S01016,SPU_夹克_0016,INELIGIBLE,NONE
S01017,SPU_针织衫_0017,INELIGIBLE,NONE
S01018,SPU_T恤_0018,ELIGIBLE,ADD
S01019,SPU_短裤_0019,ELIGIBLE,NONE
S01020,SPU_短袖_0020,ELIGIBLE,NONE
S01021,SPU_内衣_0021,ELIGIBLE,NONE
S01022,SPU_配饰_0022,ELIGIBLE,NONE
S01023,SPU_直筒裤_0023,ELIGIBLE,NONE
S01024,SPU_束脚裤_0024,ELIGIBLE,NONE
S01025,SPU_锥形裤_0025,ELIGIBLE,NONE
S01026,SPU_羽绒服_0026,INELIGIBLE,NONE
S01027,SPU_棉服_0027,INELIGIBLE,NONE
S01028,SPU_毛呢大_0028,INELIGIBLE,NONE
S01029,SPU_夹克_0029,INELIGIBLE,NONE
S01030,SPU_针织衫_0030,INELIGIBLE,NONE
S01031,SPU_T恤_0031,ELIGIBLE,NONE
S01032,SPU_短裤_0032,ELIGIBLE,NONE
S01033,SPU_短袖_0033,ELIGIBLE,NONE
