str_code,spu_code,recommended_quantity_change,is_imbalanced
S01000,SPU_羽绒服_0000,0,False
S01001,SPU_棉服_0001,0,False
S01002,SPU_毛呢大_0002,0,False
S01003,SPU_夹克_0003,0,False
S01004,SPU_针织衫_0004,0,False
S01005,SPU_T恤_0005,0,False
S01006,SPU_短裤_0006,0,False
S01007,SPU_短袖_0007,0,False
S01008,SPU_内衣_0008,0,False
S01009,SPU_配饰_0009,0,False
S01010,SPU_直筒裤_0010,0,False
S01011,SPU_束脚裤_0011,0,False
S01012,SPU_锥形裤_0012,0,False
S01013,SPU_羽绒服_0013,0,False
S01014,SPU_棉服_0014,0,False
S01015,SPU_毛呢大_0015,0,False
S01016,SPU_夹克_0016,0,False
S01017,SPU_针织衫_0017,0,False
S01018,SPU_T恤_0018,0,False
S01019,SPU_短裤_0019,0,False
S01020,SPU_短袖_0020,0,False
S01021,SPU_内衣_0021,0,False
S01022,SPU_配饰_0022,0,False
S01023,SPU_直筒裤_0023,0,False
S01024,SPU_束脚裤_0024,0,False
S01025,SPU_锥形裤_0025,0,False
S01026,SPU_羽绒服_0026,0,False
S01027,SPU_棉服_0027,0,False
S01028,SPU_毛呢大_0028,0,False
S01029,SPU_夹克_0029,0,False
S01030,SPU_针织衫_0030,0,False
S01031,SPU_T恤_0031,0,False
S01032,SPU_短裤_0032,0,False
S01033,SPU_短袖_0033,0,False
S01034,SPU_内衣_0034,0,False
S01035,SPU_配饰_0035,0,False
S01036,SPU_直筒裤_0036,0,False
S01037,SPU_束脚裤_0037,0,False
S01038,SPU_锥形裤_0038,0,False
S01039,SPU_羽绒服_0039,0,False
S01040,SPU_棉服_0040,0,False
S01041,SPU_毛呢大_0041,0,False
S01042,SPU_夹克_0042,0,False
S01043,SPU_针织衫_0043,0,False
S01044,SPU_T恤_0044,0,False
S01045,SPU_短裤_0045,0,False
S01046,SPU_短袖_0046,0,False
S01047,SPU_内衣_0047,0,False
S01048,SPU_配饰_0048,0,False
S01049,SPU_直筒裤_0049,4,True
S01050,SPU_束脚裤_0050,0,False
S01051,SPU_锥形裤_0051,0,False
S01052,SPU_羽绒服_0052,0,False
S01053,SPU_棉服_0053,0,False
S01054,SPU_毛呢大_0054,0,False
S01055,SPU_夹克_0055,0,False
S01056,SPU_针织衫_0056,0,False
S01057,SPU_T恤_0057,0,False
S01058,SPU_短裤_0058,0,False
S01059,SPU_短袖_0059,0,False
S01060,SPU_内衣_0060,0,False
S01061,SPU_配饰_0061,0,False
S01062,SPU_直筒裤_0062,0,False
S01063,SPU_束脚裤_0063,0,False
S01064,SPU_锥形裤_0064,3,True
S01065,SPU_羽绒服_0065,0,False
S01066,SPU_棉服_0066,0,False
S01067,SPU_毛呢大_0067,0,False
S01068,SPU_夹克_0068,0,False
S01069,SPU_针织衫_0069,0,False
S01070,SPU_T恤_0070,0,False
S01071,SPU_短裤_0071,0,False
S01072,SPU_短袖_0072,2,True
S01073,SPU_内衣_0073,0,False
S01074,SPU_配饰_0074,0,False
S01075,SPU_直筒裤_0075,0,False
S01076,SPU_束脚裤_0076,0,False
S01077,SPU_锥形裤_0077,0,False
S01078,SPU_羽绒服_0078,0,False
S01079,SPU_棉服_0079,0,False
S01080,SPU_毛呢大_0080,0,False
S01081,SPU_夹克_0081,0,False
S01082,SPU_针织衫_0082,0,False
S01083,SPU_T恤_0083,0,False
S01084,SPU_短裤_0084,4,True
S01085,SPU_短袖_0085,0,False
