str_code,spu_code,cluster_id,recommendation_type,spu_avg_qty_per_store,spu_adoption_rate_in_cluster,spu_sales_percentile,stores_selling_in_cluster,total_stores_in_cluster,recommended_quantity_change,opportunity_score,sub_cate_name,category_type,eligibility_status,step10_reduced,baseline_gate_passed,baseline_gate_reason,woman_into_str_cnt_avg,male_into_str_cnt_avg,affinity_level,affinity_score,consistency_penalty,adjusted_confidence,affinity_explanation,consistency_explanation,opportunity_tier,tier_score,tier_justification,seasonal_context,recommendation_framing,is_mandatory,step11_note
12076,SPU_TOP_005,4,ADD_NEW,32.45001199043411,0.896551724137931,1.0,52,58,32.45001199043411,0.896551724137931,直筒裤,core,UNKNOWN,False,True,Passed baseline gate,215.50240972366396,263.9531573196244,Moderate affinity,0.5,0.0,0.5,"Moderate affinity: Unisex product with balanced customer mix (45% female, 55% male)",No consistency check data available,High Confidence Growth,0.7775862068965518,"High Confidence Growth: strong peer adoption (80%+), moderate affinity (score: 0.78)",Seasonal context (summer): Summer season - warm weather products at peak demand. Category: 直筒裤,Growth Opportunity,False,This is a SUGGESTION ONLY. Step 11 does not alter baseline inventory and does not conflict with Step 10 reductions.
32500,SPU_TOP_005,4,ADD_NEW,32.45001199043411,0.896551724137931,1.0,52,58,32.45001199043411,0.896551724137931,T恤,summer,UNKNOWN,False,True,Passed baseline gate,172.4653117534832,248.38534674156222,Moderate affinity,0.5,0.0,0.5,"Moderate affinity: Unisex product with balanced customer mix (41% female, 59% male)",No consistency check data available,High Confidence Growth,0.7775862068965518,"High Confidence Growth: strong peer adoption (80%+), moderate affinity (score: 0.78)",Seasonal context (summer): Summer season - warm weather products at peak demand. Category: T恤,Growth Opportunity,False,This is a SUGGESTION ONLY. Step 11 does not alter baseline inventory and does not conflict with Step 10 reductions.
32596,SPU_TOP_005,4,ADD_NEW,32.45001199043411,0.896551724137931,1.0,52,58,32.45001199043411,0.896551724137931,直筒裤,core,UNKNOWN,False,True,Passed baseline gate,437.9574277694528,329.52094764820487,Moderate affinity,0.5,0.0,0.5,"Moderate affinity: Unisex product with balanced customer mix (57% female, 43% male)",No consistency check data available,High Confidence Growth,0.7775862068965518,"High Confidence Growth: strong peer adoption (80%+), moderate affinity (score: 0.78)",Seasonal context (summer): Summer season - warm weather products at peak demand. Category: 直筒裤,Growth Opportunity,False,This is a SUGGESTION ONLY. Step 11 does not alter baseline inventory and does not conflict with Step 10 reductions.
34130,SPU_TOP_005,4,ADD_NEW,32.45001199043411,0.896551724137931,1.0,52,58,32.45001199043411,0.896551724137931,直筒裤,core,UNKNOWN,False,True,Passed baseline gate,157.4582951216927,196.9585573469656,Moderate affinity,0.5,0.0,0.5,"Moderate affinity: Unisex product with balanced customer mix (44% female, 56% male)",No consistency check data available,High Confidence Growth,0.7775862068965518,"High Confidence Growth: strong peer adoption (80%+), moderate affinity (score: 0.78)",Seasonal context (summer): Summer season - warm weather products at peak demand. Category: 直筒裤,Growth Opportunity,False,This is a SUGGESTION ONLY. Step 11 does not alter baseline inventory and does not conflict with Step 10 reductions.
34117,SPU_TOP_005,4,ADD_NEW,32.45001199043411,0.896551724137931,1.0,52,58,32.45001199043411,0.896551724137931,直筒裤,core,UNKNOWN,False,True,Passed baseline gate,78.02289764684852,219.62598004502271,Moderate affinity,0.5,0.0,0.5,"Moderate affinity: Unisex product with balanced customer mix (26% female, 74% male)",No consistency check data available,High Confidence Growth,0.7775862068965518,"High Confidence Growth: strong peer adoption (80%+), moderate affinity (score: 0.78)",Seasonal context (summer): Summer season - warm weather products at peak demand. Category: 直筒裤,Growth Opportunity,False,This is a SUGGESTION ONLY. Step 11 does not alter baseline inventory and does not conflict with Step 10 reductions.
36082,SPU_TOP_005,4,ADD_NEW,32.45001199043411,0.896551724137931,1.0,52,58,32.45001199043411,0.896551724137931,直筒裤,core,UNKNOWN,False,True,Passed baseline gate,491.33270461254324,180.80615717231228,Moderate affinity,0.5,0.0,0.5,"Moderate affinity: Unisex product with balanced customer mix (73% female, 27% male)",No consistency check data available,High Confidence Growth,0.7775862068965518,"High Confidence Growth: strong peer adoption (80%+), moderate affinity (score: 0.78)",Seasonal context (summer): Summer season - warm weather products at peak demand. Category: 直筒裤,Growth Opportunity,False,This is a SUGGESTION ONLY. Step 11 does not alter baseline inventory and does not conflict with Step 10 reductions.
51190,SPU_TOP_019,0,ADD_NEW,29.202704641539246,0.8928571428571429,1.0,75,84,29.202704641539246,0.8928571428571429,直筒裤,core,UNKNOWN,False,True,Passed baseline gate,347.82556330129916,264.47329191324576,Moderate affinity,0.5,0.0,0.5,"Moderate affinity: Unisex product with balanced customer mix (57% female, 43% male)",No consistency check data available,High Confidence Growth,0.775,"High Confidence Growth: strong peer adoption (80%+), moderate affinity (score: 0.78)",Seasonal context (summer): Summer season - warm weather products at peak demand. Category: 直筒裤,Growth Opportunity,False,This is a SUGGESTION ONLY. Step 11 does not alter baseline inventory and does not conflict with Step 10 reductions.
51112,SPU_TOP_019,0,ADD_NEW,29.202704641539246,0.8928571428571429,1.0,75,84,29.202704641539246,0.8928571428571429,直筒裤,core,UNKNOWN,False,True,Passed baseline gate,394.4135137361183,123.61974614049369,Moderate affinity,0.5,0.0,0.5,"Moderate affinity: Unisex product with balanced customer mix (76% female, 24% male)",No consistency check data available,High Confidence Growth,0.775,"High Confidence Growth: strong peer adoption (80%+), moderate affinity (score: 0.78)",Seasonal context (summer): Summer season - warm weather products at peak demand. Category: 直筒裤,Growth Opportunity,False,This is a SUGGESTION ONLY. Step 11 does not alter baseline inventory and does not conflict with Step 10 reductions.
33378,SPU_TOP_019,0,ADD_NEW,29.202704641539246,0.8928571428571429,1.0,75,84,29.202704641539246,0.8928571428571429,直筒裤,core,UNKNOWN,False,True,Passed baseline gate,381.59318522488195,349.23491869099456,Moderate affinity,0.5,0.0,0.5,"Moderate affinity: Unisex product with balanced customer mix (52% female, 48% male)",No consistency check data available,High Confidence Growth,0.775,"High Confidence Growth: strong peer adoption (80%+), moderate affinity (score: 0.78)",Seasonal context (summer): Summer season - warm weather products at peak demand. Category: 直筒裤,Growth Opportunity,False,This is a SUGGESTION ONLY. Step 11 does not alter baseline inventory and does not conflict with Step 10 reductions.
51222,SPU_TOP_019,0,ADD_NEW,29.202704641539246,0.8928571428571429,1.0,75,84,29.202704641539246,0.8928571428571429,直筒裤,core,UNKNOWN,False,True,Passed baseline gate,281.50759748295235,61.47086263101921,Moderate affinity,0.5,0.0,0.5,"Moderate affinity: Unisex product with balanced customer mix (82% female, 18% male)",No consistency check data available,High Confidence Growth,0.775,"High Confidence Growth: strong peer adoption (80%+), moderate affinity (score: 0.78)",Seasonal context (summer): Summer season - warm weather products at peak demand. Category: 直筒裤,Growth Opportunity,False,This is a SUGGESTION ONLY. Step 11 does not alter baseline inventory and does not conflict with Step 10 reductions.
