str_code,spu_code,sub_cate_name,category_type,cluster_id,eligibility_status,eligibility_reason,recommendation,store_temperature
11003,SPU_羽绒服_00000,羽绒服,winter,24,INELIGIBLE,Winter product not appropriate for summer period,NONE,34.50714306409916
11014,SPU_棉服_00001,棉服,winter,24,INELIGIBLE,Winter product not appropriate for summer period,NONE,33.66176145774935
11017,SPU_毛呢大_00002,毛呢大衣,winter,12,INELIGIBLE,Winter product not appropriate for summer period,NONE,27.123391106782762
11020,SPU_夹克_00003,夹克,transition,20,INELIGIBLE,Transition product not appropriate for summer period,NONE,22.91229140198042
11021,SPU_针织衫_00004,针织衫,transition,12,INELIGIBLE,Transition product not appropriate for summer period,NONE,27.851759613930135
11029,SPU_T恤_00005,T恤,summer,12,ELIGIBLE,Product appropriate for current season,NONE,22.557861855309373
11035,SPU_短裤_00006,短裤,summer,29,ELIGIBLE,Product appropriate for current season,NONE,21.46508171009576
11036,SPU_短袖_00007,短袖,summer,12,ELIGIBLE,Product appropriate for current season,NONE,33.63980603118173
11037,SPU_内衣_00008,内衣,all_season,12,ELIGIBLE,Product appropriate for current season,NONE,22.772816832882906
11041,SPU_配饰_00009,配饰,all_season,29,ELIGIBLE,Product appropriate for current season,NONE,33.82811352534675
11042,SPU_直筒裤_00010,直筒裤,core,12,ELIGIBLE,Core subcategory '直筒裤' - always eligible,NONE,20.426980635477918
11046,SPU_束脚裤_00011,束脚裤,core,20,ELIGIBLE,Core subcategory '束脚裤' - always eligible,NONE,31.043939615080795
11048,SPU_锥形裤_00012,锥形裤,core,29,ELIGIBLE,Core subcategory '锥形裤' - always eligible,NONE,31.309228569096682
11049,SPU_羽绒服_00013,羽绒服,winter,6,INELIGIBLE,Winter product not appropriate for summer period,NONE,26.158690595251297
11050,SPU_棉服_00014,棉服,winter,29,INELIGIBLE,Winter product not appropriate for summer period,NONE,28.25183322026747
11058,SPU_毛呢大_00015,毛呢大衣,winter,6,INELIGIBLE,Winter product not appropriate for summer period,NONE,32.13244787222995
11059,SPU_夹克_00016,夹克,transition,16,INELIGIBLE,Transition product not appropriate for summer period,NONE,24.275410183585496
11063,SPU_针织衫_00017,针织衫,transition,23,INELIGIBLE,Transition product not appropriate for summer period,NONE,25.085706911647026
11067,SPU_T恤_00018,T恤,summer,23,ELIGIBLE,Product appropriate for current season,NONE,21.154698647431896
11070,SPU_短裤_00019,短裤,summer,24,ELIGIBLE,Product appropriate for current season,NONE,33.07190885281577
11072,SPU_短袖_00020,短袖,summer,20,ELIGIBLE,Product appropriate for current season,NONE,33.441369498852396
11080,SPU_内衣_00021,内衣,all_season,6,ELIGIBLE,Product appropriate for current season,NONE,32.910958748845154
11081,SPU_配饰_00022,配饰,all_season,12,ELIGIBLE,Product appropriate for current season,NONE,25.06422757105442
11084,SPU_直筒裤_00023,直筒裤,core,12,ELIGIBLE,Core subcategory '直筒裤' - always eligible,NONE,34.435641654419214
11094,SPU_束脚裤_00024,束脚裤,core,24,ELIGIBLE,Core subcategory '束脚裤' - always eligible,NONE,15.737738947090655
11096,SPU_锥形裤_00025,锥形裤,core,6,ELIGIBLE,Core subcategory '锥形裤' - always eligible,NONE,19.79123781333945
11100,SPU_羽绒服_00026,羽绒服,winter,23,INELIGIBLE,Winter product not appropriate for summer period,NONE,32.61619615328718
11102,SPU_棉服_00027,棉服,winter,23,INELIGIBLE,Winter product not appropriate for summer period,NONE,30.357746840747584
11104,SPU_毛呢大_00028,毛呢大衣,winter,12,INELIGIBLE,Winter product not appropriate for summer period,NONE,30.908929431882417
11106,SPU_夹克_00029,夹克,transition,12,INELIGIBLE,Transition product not appropriate for summer period,NONE,21.743664290049914
11113,SPU_针织衫_00030,针织衫,transition,12,INELIGIBLE,Transition product not appropriate for summer period,NONE,21.13473521240589
11117,SPU_T恤_00031,T恤,summer,29,ELIGIBLE,Product appropriate for current season,ADD,28.328012173991937
11124,SPU_短裤_00032,短裤,summer,29,ELIGIBLE,Product appropriate for current season,ADD,29.49652185909902
11127,SPU_短袖_00033,短袖,summer,6,ELIGIBLE,Product appropriate for current season,NONE,31.698133187864357
11128,SPU_内衣_00034,内衣,all_season,29,ELIGIBLE,Product appropriate for current season,NONE,20.137955774249445
11129,SPU_配饰_00035,配饰,all_season,12,ELIGIBLE,Product appropriate for current season,NONE,30.378427965390397
11130,SPU_直筒裤_00036,直筒裤,core,29,ELIGIBLE,Core subcategory '直筒裤' - always eligible,NONE,29.92982810236048
11132,SPU_束脚裤_00037,束脚裤,core,12,ELIGIBLE,Core subcategory '束脚裤' - always eligible,NONE,22.35431606118867
11133,SPU_锥形裤_00038,锥形裤,core,12,ELIGIBLE,Core subcategory '锥形裤' - always eligible,NONE,27.622772519945258
11134,SPU_羽绒服_00039,羽绒服,winter,13,INELIGIBLE,Winter product not appropriate for summer period,NONE,32.224521152615054
11135,SPU_棉服_00040,棉服,winter,24,INELIGIBLE,Winter product not appropriate for summer period,NONE,34.53928577002587
11137,SPU_毛呢大_00041,毛呢大衣,winter,23,INELIGIBLE,Winter product not appropriate for summer period,NONE,34.66654819043669
11138,SPU_夹克_00042,夹克,transition,12,INELIGIBLE,Transition product not appropriate for summer period,NONE,23.169220051562778
11145,SPU_针织衫_00043,针织衫,transition,12,INELIGIBLE,Transition product not appropriate for summer period,NONE,20.971764937707686
11146,SPU_T恤_00044,T恤,summer,12,ELIGIBLE,Product appropriate for current season,NONE,31.111529266313067
11150,SPU_短裤_00045,短裤,summer,6,ELIGIBLE,Product appropriate for current season,NONE,32.151700920187714
11151,SPU_短袖_00046,短袖,summer,12,ELIGIBLE,Product appropriate for current season,NONE,29.749458961666477
11154,SPU_内衣_00047,内衣,all_season,6,ELIGIBLE,Product appropriate for current season,NONE,21.409729097613035
11158,SPU_配饰_00048,配饰,all_season,13,ELIGIBLE,Product appropriate for current season,NONE,28.862498908535162
11161,SPU_直筒裤_00049,直筒裤,core,23,ELIGIBLE,Core subcategory '直筒裤' - always eligible,NONE,25.444865201096086
11162,SPU_束脚裤_00050,束脚裤,core,24,ELIGIBLE,Core subcategory '束脚裤' - always eligible,NONE,25.62709263136296
12002,SPU_锥形裤_00051,锥形裤,core,15,ELIGIBLE,Core subcategory '锥形裤' - always eligible,ADD,21.45912945882492
12003,SPU_羽绒服_00052,羽绒服,winter,29,INELIGIBLE,Winter product not appropriate for summer period,NONE,34.62648414677925
12009,SPU_棉服_00053,棉服,winter,24,INELIGIBLE,Winter product not appropriate for summer period,NONE,27.502428981645952
12017,SPU_毛呢大_00054,毛呢大衣,winter,15,INELIGIBLE,Winter product not appropriate for summer period,NONE,32.37896916695769
12022,SPU_夹克_00055,夹克,transition,0,INELIGIBLE,Transition product not appropriate for summer period,NONE,27.57846110464369
