status,reason,current_quantity,minimum_threshold,minimum_reference_source,recommended_increase,recommended_quantity_change,sell_through_valid,eligibility_status,adjusted_by_step8,is_core_subcategory,rule9_applied,rule9_reason,str_code,spu_code,sub_cate_name,category_type,cluster_id
SKIPPED_NO_DEMAND,No demand signal: No demand signal - zero sales and low sell-through,3.9279757672456204,1.0,global_fallback,0.0,0,False,UNKNOWN,False,False,False,,S01000,SPU_羽绒服_0000,羽绒服,winter,
SKIPPED_NO_DEMAND,No demand signal: No demand signal - zero sales and low sell-through,3.9279757672456204,1.0,global_fallback,0.0,0,False,UNKNOWN,False,False,False,,S01000,SPU_羽绒服_0000,羽绒服,winter,
SKIPPED_NO_DEMAND,No demand signal: No demand signal - zero sales and low sell-through,3.9279757672456204,1.0,global_fallback,0.0,0,False,UNKNOWN,False,False,False,,S01000,SPU_羽绒服_0000,羽绒服,winter,
SKIPPED_NO_DEMAND,No demand signal: No demand signal - zero sales and low sell-through,3.9279757672456204,1.0,global_fallback,0.0,0,False,UNKNOWN,False,False,False,,S01000,SPU_羽绒服_0000,羽绒服,winter,
SKIPPED_NO_DEMAND,No demand signal: No demand signal - zero sales and low sell-through,3.9279757672456204,1.0,global_fallback,0.0,0,False,UNKNOWN,False,False,False,,S01000,SPU_羽绒服_0000,羽绒服,winter,
SKIPPED_NO_DEMAND,No demand signal: No demand signal - zero sales and low sell-through,0.46739911357269376,1.0,global_fallback,0.0,0,False,UNKNOWN,False,False,False,,S01001,SPU_棉服_0001,棉服,winter,
SKIPPED_NO_DEMAND,No demand signal: No demand signal - zero sales and low sell-through,0.46739911357269376,1.0,global_fallback,0.0,0,False,UNKNOWN,False,False,False,,S01001,SPU_棉服_0001,棉服,winter,
SKIPPED_NO_DEMAND,No demand signal: No demand signal - zero sales and low sell-through,0.46739911357269376,1.0,global_fallback,0.0,0,False,UNKNOWN,False,False,False,,S01001,SPU_棉服_0001,棉服,winter,
SKIPPED_NO_DEMAND,No demand signal: No demand signal - zero sales and low sell-through,0.46739911357269376,1.0,global_fallback,0.0,0,False,UNKNOWN,False,False,False,,S01001,SPU_棉服_0001,棉服,winter,
BELOW_MINIMUM,Below minimum threshold (global_fallback),0.8759278817295955,1.0,global_fallback,1.0,1,True,UNKNOWN,False,False,True,"Below minimum: current=0.88, threshold=1.00 (global_fallback), increase=+1",S01002,SPU_毛呢大_0002,毛呢大衣,winter,
BELOW_MINIMUM,Below minimum threshold (global_fallback),0.8759278817295955,1.0,global_fallback,1.0,1,True,UNKNOWN,False,False,True,"Below minimum: current=0.88, threshold=1.00 (global_fallback), increase=+1",S01002,SPU_毛呢大_0002,毛呢大衣,winter,
BELOW_MINIMUM,Below minimum threshold (global_fallback),0.8759278817295955,1.0,global_fallback,1.0,1,True,UNKNOWN,False,False,True,"Below minimum: current=0.88, threshold=1.00 (global_fallback), increase=+1",S01002,SPU_毛呢大_0002,毛呢大衣,winter,
BELOW_MINIMUM,Below minimum threshold (global_fallback),0.8759278817295955,1.0,global_fallback,1.0,1,True,UNKNOWN,False,False,True,"Below minimum: current=0.88, threshold=1.00 (global_fallback), increase=+1",S01002,SPU_毛呢大_0002,毛呢大衣,winter,
ABOVE_MINIMUM,Current (1.03) >= minimum (1.00),1.0282652208788696,1.0,global_fallback,0.0,0,True,UNKNOWN,False,False,False,,S01003,SPU_夹克_0003,夹克,transition,
ABOVE_MINIMUM,Current (1.03) >= minimum (1.00),1.0282652208788696,1.0,global_fallback,0.0,0,True,UNKNOWN,False,False,False,,S01003,SPU_夹克_0003,夹克,transition,
ABOVE_MINIMUM,Current (1.03) >= minimum (1.00),1.0282652208788696,1.0,global_fallback,0.0,0,True,UNKNOWN,False,False,False,,S01003,SPU_夹克_0003,夹克,transition,
ABOVE_MINIMUM,Current (1.03) >= minimum (1.00),1.0282652208788696,1.0,global_fallback,0.0,0,True,UNKNOWN,False,False,False,,S01003,SPU_夹克_0003,夹克,transition,
ABOVE_MINIMUM,Current (1.03) >= minimum (1.00),1.0282652208788696,1.0,global_fallback,0.0,0,True,UNKNOWN,False,False,False,,S01003,SPU_夹克_0003,夹克,transition,
