str_code,spu_code,sub_cate_name,cluster_id,eligibility_status,is_core_subcategory,adjusted_by_step8,current_spu_count,rule9_applied,rule9_reason,recommended_quantity_change
11003,SPU_羽绒服_00000,羽绒服,24,INELIGIBLE,False,False,11.239882614641974,False,SKIPPED: Ineligible (not core subcategory),0.0
11014,SPU_棉服_00001,棉服,24,INELIGIBLE,False,False,4.277839467700388,False,SKIPPED: Ineligible (not core subcategory),0.0
11017,SPU_毛呢大_00002,毛呢大衣,12,INELIGIBLE,False,False,21.313738097609278,False,SKIPPED: Ineligible (not core subcategory),0.0
11020,SPU_夹克_00003,夹克,20,INELIGIBLE,False,False,12.502790410126547,False,SKIPPED: Ineligible (not core subcategory),0.0
11021,SPU_针织衫_00004,针织衫,12,INELIGIBLE,False,False,13.03353965277479,False,SKIPPED: Ineligible (not core subcategory),0.0
11029,SPU_T恤_00005,T恤,12,ELIGIBLE,False,False,16.365986741831644,False,Above minimum (16.4 >= 7.8),0.0
11035,SPU_短裤_00006,短裤,29,ELIGIBLE,False,False,9.701502921814155,False,Above minimum (9.7 >= 2.7),0.0
11036,SPU_短袖_00007,短袖,12,ELIGIBLE,False,False,3.7565474645348047,True,"Below minimum (3.8 < 3.9), increase by 0.8",0.751309492906961
11037,SPU_内衣_00008,内衣,12,ELIGIBLE,False,False,15.027626145552151,False,Above minimum (15.0 >= 7.6),0.0
11041,SPU_配饰_00009,配饰,29,ELIGIBLE,False,False,16.153799533843873,False,Above minimum (16.2 >= 2.3),0.0
11042,SPU_直筒裤_00010,直筒裤,12,ELIGIBLE,True,False,11.550900373168604,False,Above minimum (11.6 >= 3.7),0.0
11046,SPU_束脚裤_00011,束脚裤,20,ELIGIBLE,True,False,6.100332949444779,True,"Below minimum (6.1 < 6.6), increase by 1.0",1.0
11048,SPU_锥形裤_00012,锥形裤,29,ELIGIBLE,True,False,3.121486576719253,True,"Below minimum (3.1 < 6.6), increase by 0.6",0.6242973153438506
11049,SPU_羽绒服_00013,羽绒服,6,INELIGIBLE,False,False,10.886246027973998,False,SKIPPED: Ineligible (not core subcategory),0.0
11050,SPU_棉服_00014,棉服,29,INELIGIBLE,False,False,9.841611077744568,False,SKIPPED: Ineligible (not core subcategory),0.0
11058,SPU_毛呢大_00015,毛呢大衣,6,INELIGIBLE,False,False,5.631073410642637,False,SKIPPED: Ineligible (not core subcategory),0.0
11059,SPU_夹克_00016,夹克,16,INELIGIBLE,False,False,14.500122246403869,False,SKIPPED: Ineligible (not core subcategory),0.0
11063,SPU_针织衫_00017,针织衫,23,INELIGIBLE,False,False,9.915831583679187,False,SKIPPED: Ineligible (not core subcategory),0.0
11067,SPU_T恤_00018,T恤,23,ELIGIBLE,False,False,8.033559640815694,False,Above minimum (8.0 >= 7.6),0.0
11070,SPU_短裤_00019,短裤,24,ELIGIBLE,False,False,16.934882643229315,False,Above minimum (16.9 >= 7.4),0.0
11072,SPU_短袖_00020,短袖,20,ELIGIBLE,False,False,20.763683413609375,False,Above minimum (20.8 >= 3.4),0.0
11080,SPU_内衣_00021,内衣,6,ELIGIBLE,False,False,20.996324850294847,False,Above minimum (21.0 >= 4.5),0.0
11081,SPU_配饰_00022,配饰,12,ELIGIBLE,False,False,5.6370380813410215,False,Above minimum (5.6 >= 5.1),0.0
11084,SPU_直筒裤_00023,直筒裤,12,ELIGIBLE,True,False,10.999851252344467,False,Above minimum (11.0 >= 5.0),0.0
11094,SPU_束脚裤_00024,束脚裤,24,ELIGIBLE,True,False,9.266490876304287,False,Above minimum (9.3 >= 2.3),0.0
11096,SPU_锥形裤_00025,锥形裤,6,ELIGIBLE,True,False,22.98184949126638,False,Above minimum (23.0 >= 7.9),0.0
11100,SPU_羽绒服_00026,羽绒服,23,INELIGIBLE,False,False,17.786982042929328,False,SKIPPED: Ineligible (not core subcategory),0.0
11102,SPU_棉服_00027,棉服,23,INELIGIBLE,False,False,16.937653636739682,False,SKIPPED: Ineligible (not core subcategory),0.0
11104,SPU_毛呢大_00028,毛呢大衣,12,INELIGIBLE,False,False,3.897053114204806,False,SKIPPED: Ineligible (not core subcategory),0.0
11106,SPU_夹克_00029,夹克,12,INELIGIBLE,False,False,17.1938013890079,False,SKIPPED: Ineligible (not core subcategory),0.0
11113,SPU_针织衫_00030,针织衫,12,INELIGIBLE,False,False,10.503459723105687,False,SKIPPED: Ineligible (not core subcategory),0.0
11117,SPU_T恤_00031,T恤,29,ELIGIBLE,False,False,20.978888404426748,False,Above minimum (21.0 >= 2.6),0.0
11124,SPU_短裤_00032,短裤,29,ELIGIBLE,False,False,22.80919725759327,False,Above minimum (22.8 >= 6.4),0.0
11127,SPU_短袖_00033,短袖,6,ELIGIBLE,False,False,22.51590133383258,False,Above minimum (22.5 >= 3.0),0.0
11128,SPU_内衣_00034,内衣,29,ELIGIBLE,False,False,16.34143931251098,False,Above minimum (16.3 >= 2.0),0.0
