str_code,spu_code,sub_cate_name,cluster_id,quantity,simulated_season,cluster_mean,cluster_std,cluster_count,z_score,is_imbalanced,recommended_change
33519,SHORT_SLV_0000,短袖,13,14,summer,14.0,,1,0.0,False,0.0
32426,SHORTS_0001,短裤,9,21,summer,21.0,,1,0.0,False,0.0
32191,SHORT_SLV_0002,短袖,3,16,summer,16.0,,1,0.0,False,0.0
13148,TSHIRT_0003,T恤,41,21,summer,21.0,,1,0.0,False,0.0
33327,SHORT_SLV_0004,短袖,8,18,summer,18.0,,1,0.0,False,0.0
35124,KNIT_0005,针织衫,15,11,transition,11.0,,1,0.0,False,0.0
35049,ACCESSORY_0006,配饰,15,3,all,3.0,,1,0.0,False,0.0
32446,ACCESSORY_0007,配饰,3,23,all,23.0,,1,0.0,False,0.0
51124,WOOL_0008,毛呢大衣,11,0,winter,0.0,,1,0.0,False,0.0
33001,KNIT_0009,针织衫,22,9,transition,9.0,,1,0.0,False,0.0
61023,PADDED_0010,棉服,41,2,winter,2.0,,1,0.0,False,0.0
37156,SHORTS_0011,短裤,6,25,summer,25.0,,1,0.0,False,0.0
33334,WOOL_0012,毛呢大衣,22,1,winter,1.0,,1,0.0,False,0.0
34094,TSHIRT_0013,T恤,21,27,summer,27.0,,1,0.0,False,0.0
34312,JACKET_0014,夹克,21,8,transition,8.0,,1,0.0,False,0.0
33428,SHORT_SLV_0015,短袖,22,27,summer,27.0,,1,0.0,False,0.0
36118,UNDERWEAR_0016,内衣,10,16,all,16.0,,1,0.0,False,0.0
33377,ACCESSORY_0017,配饰,0,26,all,26.0,,1,0.0,False,0.0
33313,UNDERWEAR_0018,内衣,8,11,all,11.0,,1,0.0,False,0.0
37174,DOWN_0019,羽绒服,10,1,winter,1.0,,1,0.0,False,0.0
42029,WOOL_0020,毛呢大衣,4,0,winter,0.0,,1,0.0,False,0.0
32282,KNIT_0021,针织衫,5,12,transition,12.0,,1,0.0,False,0.0
51214,SHORTS_0022,短裤,37,18,summer,18.0,,1,0.0,False,0.0
32502,SHORTS_0023,短裤,3,26,summer,26.0,,1,0.0,False,0.0
44288,KNIT_0024,针织衫,15,12,transition,12.0,,1,0.0,False,0.0
43014,DOWN_0025,羽绒服,4,0,winter,0.0,,1,0.0,False,0.0
41254,WOOL_0026,毛呢大衣,6,0,winter,0.0,,1,0.0,False,0.0
32306,ACCESSORY_0027,配饰,9,26,all,26.0,,1,0.0,False,0.0
41253,WOOL_0028,毛呢大衣,6,1,winter,1.0,,1,0.0,False,0.0
34092,JACKET_0029,夹克,9,7,transition,7.0,,1,0.0,False,0.0
44301,KNIT_0030,针织衫,44,8,transition,8.0,,1,0.0,False,0.0
32555,JACKET_0031,夹克,29,4,transition,4.0,,1,0.0,False,0.0
35048,SHORTS_0032,短裤,19,15,summer,15.0,,1,0.0,False,0.0
43069,UNDERWEAR_0033,内衣,10,12,all,12.0,,1,0.0,False,0.0
33384,JACKET_0034,夹克,13,8,transition,8.0,,1,0.0,False,0.0
42094,SHORTS_0035,短裤,6,25,summer,25.0,,1,0.0,False,0.0
42030,SHORTS_0036,短裤,10,18,summer,18.0,,1,0.0,False,0.0
37024,UNDERWEAR_0037,内衣,6,17,all,17.0,,1,0.0,False,0.0
33712,UNDERWEAR_0038,内衣,22,11,all,11.0,,1,0.0,False,0.0
41151,UNDERWEAR_0039,内衣,10,12,all,12.0,,1,0.0,False,0.0
32137,KNIT_0040,针织衫,21,6,transition,6.0,,1,0.0,False,0.0
33075,TSHIRT_0041,T恤,22,31,summer,31.0,,1,0.0,False,0.0
43147,SHORT_SLV_0042,短袖,4,15,summer,15.0,,1,0.0,False,0.0
42081,ACCESSORY_0043,配饰,4,25,all,25.0,,1,0.0,False,0.0
32593,SHORTS_0044,短裤,29,8,summer,8.0,,1,0.0,False,0.0
33177,DOWN_0045,羽绒服,8,0,winter,0.0,,1,0.0,False,0.0
32758,TSHIRT_0046,T恤,9,24,summer,24.0,,1,0.0,False,0.0
44059,PADDED_0047,棉服,1,2,winter,2.0,,1,0.0,False,0.0
44177,ACCESSORY_0048,配饰,15,24,all,24.0,,1,0.0,False,0.0
13135,DOWN_0049,羽绒服,41,2,winter,2.0,,1,0.0,False,0.0
31021,TSHIRT_0050,T恤,13,18,summer,18.0,,1,0.0,False,0.0
